video_id;comment
0PZzqQYvPwI;Sir kindly make a video explaining maps you have provided in Google drive. 🙏
0PZzqQYvPwI;Thanks a lot sir. Much needed lecture.
0PZzqQYvPwI;Thanks sir...🙏🙏🙏🙏🙏
0PZzqQYvPwI;IRNSS- NAViC,GNNS:-GPS,BEIDOU,GLONASS,GALLILIO
0PZzqQYvPwI;1:11:55- ROCKETRY, it is an upcoming movie about Nambi Narayanan
0PZzqQYvPwI;Thanku sir
0PZzqQYvPwI;thank you guruji
0PZzqQYvPwI;sir one suggestion here
0PZzqQYvPwI;Pen and mouse pointer is not the same time moving when you explain something the arrow is stop and enclosure is write words. Sometimes it is challenging to understand. Problem is being from 38 min 53 seconds to 59 min 55 second.
0PZzqQYvPwI;बहुत-बहुत धन्यवाद सर
0PZzqQYvPwI;Sir
0PZzqQYvPwI;Play speed ka option nhi dikha raha hai
0PZzqQYvPwI;1st liker 😊😊😊😇
0PZzqQYvPwI;Website open nhi ho rhi profile ki bar bar change  password  ka hi page bta rha hai krishna  bhaiya mai kya kru video ke pdf bhi nhi khulte help me please 😊
0PZzqQYvPwI;Sir....plzz do share it on ur  shared resources material.This is so helpful._Thanks alot🙏
0PZzqQYvPwI;Sir make guidance video on detail Analyse of each topic of mains and prelims syallbus.
0PZzqQYvPwI;Thank you . This is a very important lesson.
0PZzqQYvPwI;I want to see you beautiful in my life
0PZzqQYvPwI;Thanku sir for keeping your promise of S&T series to be on YouTube
0PZzqQYvPwI;Will u upload this @ 2020 n 5050 folder?
0PZzqQYvPwI;Thanks a lot sir... pls make other vdos on nuclear and space
0PZzqQYvPwI;I want to talk u how I contact u sir🙏🙏🙏
0PZzqQYvPwI;😃😃😃
0PZzqQYvPwI;Very good
XvkEExdl-w4;5:30 The future is not far away ....
XvkEExdl-w4;The magnet putty is like venom
XvkEExdl-w4;THE BALL WENT INTO THE QUANTUM DIMENSION AND ROLLED FOR 5 HOURS BEFORE COMING BACK.
